t,angle,gyro,speed,dist,LQR_u,yawout,yaw,joyx,joyy,joyy_f,height,angle_zp,dist_zp,leg_add,bat,motor1_t,motor2_t,unctrl,jump
66996,8.029478,-1.000679,0.206676,1.17733,0.865597,-0.170436,-0.198606,0,0,0,48,8.18331,1.04234,12.61056,8.15041,-0.347581,-0.518017,0,0
67014,8.012215,-1.061747,0.219446,1.181165,0.856449,-0.169759,-0.189991,0,0,0,48,8.18222,1.04234,12.59805,8.15041,-0.343345,-0.513104,0,0
67037,7.973245,-1.077015,0.159448,1.185767,0.764402,-0.137959,-0.175289,0,0,0,48,8.180849,1.04234,12.58347,8.15041,-0.313222,-0.451181,0,0
67057,7.939286,-0.13045,0.158787,1.189602,0.77551,-0.113156,-0.155982,0,0,0,48,8.179566,1.04234,12.58373,8.15041,-0.331177,-0.444333,0,0
67077,7.924874,-0.359457,0.296727,1.194204,0.831813,-0.095529,-0.134691,0,0,0,48,8.178249,1.04234,12.58805,8.15041,-0.368142,-0.463671,0,0
67100,7.907088,0.663443,0.295179,1.198039,0.861826,-0.076126,-0.113457,0,0,0,48,8.176759,1.04234,12.58791,8.15041,-0.39285,-0.468976,0,0
67120,7.929042,0.129092,0.09833,1.20034,0.706646,-0.082528,-0.099095,0,0,0,48,8.175365,1.04234,12.57959,8.15041,-0.312059,-0.394587,0,0
67142,7.917346,0.84665,0.138944,1.204175,0.760539,-0.069447,-0.087235,0,0,0,48,8.173792,1.04234,12.57292,8.15041,-0.345546,-0.414993,0,0
67162,7.913254,0.84665,0.115024,1.207243,0.738403,-0.071728,-0.081578,0,0,0,48,8.172325,1.04234,12.58093,8.15041,-0.333337,-0.405065,0,0
67184,7.942531,0.755046,0.136808,1.211078,0.782827,-0.085883,-0.079855,0,0,0,48,8.170672,1.04234,12.59111,8.15041,-0.348472,-0.434355,0,0
67204,7.957706,0.403901,0.212077,1.214913,0.835821,-0.096592,-0.083236,0,0,0,48,8.169134,1.04234,12.58652,8.15041,-0.369614,-0.466206,0,0
67225,7.976799,-0.909076,0.193794,1.220282,0.778603,-0.110704,-0.09063,0,0,0,48,8.167559,1.04234,12.57317,8.15041,-0.333949,-0.444654,0,0
67247,7.962214,-3.031213,0.284093,1.227185,0.69949,-0.136829,-0.10332,0,0,0,48,8.165781,1.04234,12.5648,8.15041,-0.281331,-0.418159,0,0
67267,7.919242,-3.977778,0.366331,1.234855,0.645706,-0.174285,-0.123066,0,0,0,48,8.164121,1.04234,12.56865,8.15041,-0.235711,-0.409996,0,0
67289,7.866451,-4.817472,0.436019,1.244059,0.553966,-0.214364,-0.150931,0,0,0,48,8.162235,1.04234,12.57408,8.15041,-0.169801,-0.384165,0,0
67309,7.778866,-6.115182,0.440727,1.253262,0.330096,-0.238171,-0.179624,0,0,0,48,8.160463,1.04234,12.57477,8.15041,-0.045963,-0.284134,0,0
67331,7.609065,-4.618999,0.410873,1.264,0.123978,-0.268265,-0.21155,0,0,0,48,8.158621,1.04234,12.57913,8.15041,0.072144,-0.196121,0,0
67351,7.435838,0.877184,0.331701,1.27167,0.123696,-0.239798,-0.228273,0,0,0,48,8.156709,1.04234,12.5968,8.15041,0.058051,-0.181747,0,0
67373,7.402495,6.984055,0.053454,1.273971,0.176948,-0.234014,-0.234092,0,0,0,48,8.154528,1.04234,12.62863,8.15041,0.028533,-0.205481,0,0
67393,7.550941,7.564207,0.013249,1.273971,0.300502,-0.224325,-0.2299,0,0,0,48,8.152482,1.04234,12.64803,8.15041,-0.038089,-0.262414,0,0
67413,7.753062,5.182528,0.025961,1.273971,0.368223,-0.210454,-0.223357,0,0,0,48,8.150389,1.04234,12.65068,8.15041,-0.078885,-0.289339,0,0
67433,7.916093,1.442069,0.201022,1.277039,0.457174,-0.236399,-0.223042,0,0,0,48,8.148254,1.04234,12.64163,8.15041,-0.110388,-0.346787,0,0
67453,7.995585,-3.519763,0.439661,1.284709,0.441327,-0.248238,-0.228775,0,0,0,48,8.14608,1.04234,12.63944,8.15041,-0.096545,-0.344783,0,0
67475,7.835606,-2.695335,0.503157,1.296214,0.39336,-0.29479,-0.249067,0,0,0,48,8.143633,1.04234,12.64879,8.15041,-0.049285,-0.344075,0,0
67496,7.676973,0.602375,0.563875,1.306952,0.485128,-0.381162,-0.290248,0,0,0,48,8.141346,1.04234,12.66197,8.15041,-0.051983,-0.433145,0,0
67516,7.608377,3.900084,0.300396,1.313088,0.450581,-0.425794,-0.335491,0,0,0,48,8.138993,1.04234,12.66776,8.15041,-0.012393,-0.438188,0,0
67539,7.706836,3.915352,0.397299,1.320758,0.674034,-0.402558,-0.368438,0,0,0,48,8.136329,1.04234,12.66497,8.15041,-0.135738,-0.538296,0,0
67560,7.82573,1.54894,0.425042,1.328427,0.739702,-0.355524,-0.372702,0,0,0,48,8.133834,1.04234,12.65908,8.15041,-0.192089,-0.547613,0,0
67580,7.917407,-2.970144,0.670243,1.340699,0.807619,-0.214385,-0.337212,0,0,0,48,8.13127,1.04234,12.6473,8.15041,-0.296617,-0.511002,0,0
67602,7.886506,-8.267855,0.841056,1.359107,0.634185,0.045048,-0.225565,0,0,0,48,8.128359,1.04234,12.60703,8.15041,-0.339616,-0.294568,0,0
67624,7.749992,-9.764037,1.077937,1.380583,0.57781,0.291303,-0.052593,0,0,0,48,8.125605,1.04234,12.55678,8.15041,-0.434556,-0.143254,0,0
67644,7.558076,-8.222053,1.024291,1.401292,0.404202,0.331161,0.102685,0,0,0,48,8.122728,1.04234,12.52069,8.15041,-0.367682,-0.036521,0,0
67664,7.419793,-3.077015,0.655526,1.416631,0.270204,0.20265,0.167762,0,0,0,48,8.11972,1.04234,12.50862,8.15041,-0.236427,-0.033777,0,0
67686,7.367405,4.190161,0.426172,1.428136,0.468738,-0.052025,0.121943,0,0,0,48,8.116257,1.04234,12.50323,8.15041,-0.208357,-0.260381,0,0
67706,7.565563,4.3581,0.322272,1.434272,0.625811,-0.161176,0.028669,0,0,0,48,8.112973,1.04234,12.48801,8.15041,-0.232317,-0.393493,0,0
67724,7.802507,0.159627,0.385862,1.439641,0.69312,-0.23766,-0.055754,0,0,0,48,8.10992,1.04234,12.48032,8.15041,-0.22773,-0.46539,0,0
67747,7.965798,-6.542664,0.463362,1.449612,0.548182,-0.296348,-0.142533,0,0,0,48,8.106066,1.04234,12.49927,8.15041,-0.125917,-0.422265,0,0
67767,7.910919,-12.43579,0.66931,1.463418,0.267202,-0.375759,-0.217059,0,0,0,48,8.102451,1.04234,12.53131,8.15041,0.054278,-0.32148,0,0
67789,7.568909,-12.13045,0.77505,1.481058,-0.088054,-0.460723,-0.306298,0,0,0,48,8.098347,1.04234,12.54993,8.15041,0.274389,-0.186334,0,0
67809,7.079041,-1.886175,0.452248,1.491796,-0.356602,-0.375035,-0.350686,0,0,0,48,8.09449,1.04234,12.54921,8.15041,0.365818,-0.009216,0,0
67831,6.914205,11.22833,-0.261989,1.490262,-0.401938,-0.230227,-0.32252,0,0,0,48,8.090117,1.04234,12.57703,8.15041,0.316083,0.085855,0,0
67850,7.252726,10.84665,-0.346433,1.483359,-0.235284,-0.221396,-0.284986,0,0,0,48,8.086455,1.04234,12.64739,8.15041,0.22834,0.006944,0,0
67870,7.639695,3.304665,-0.179648,1.477991,-0.244342,-0.260868,-0.269496,0,0,0,48,8.082331,1.04234,12.71721,8.15041,0.252605,-0.008263,0,0
67892,7.726825,-1.504496,-0.000471,1.477991,-0.37304,-0.292519,-0.273056,0,0,0,48,8.077744,1.04234,12.71386,8.15041,0.33278,0.040261,0,0
67912,7.607927,1.136726,-0.003779,1.478758,-0.39302,-0.322128,-0.286787,0,0,0,48,8.073541,1.04234,12.65645,8.15041,0.357574,0.035446,0,0
67934,7.6348,1.594741,-0.173539,1.476457,-0.512063,-0.278878,-0.291781,0,0,0,48,8.068882,1.04234,12.63182,8.15041,0.395471,0.116592,0,0
67955,7.646791,2.342833,-0.175154,1.474156,-0.508891,-0.278761,-0.289221,0,0,0,48,8.064627,1.04234,12.67611,8.15041,0.393826,0.115065,0,0
67977,7.696777,2.068024,-0.14106,1.471088,-0.486691,-0.256031,-0.281147,0,0,0,48,8.059933,1.04234,12.71539,8.15041,0.371361,0.11533,0,0
67997,7.710498,2.709245,-0.268234,1.466486,-0.558897,-0.264206,-0.275277,0,0,0,48,8.05566,1.04234,12.69035,8.15041,0.411551,0.147346,0,0
68019,7.774717,3.533672,-0.178937,1.461884,-0.403138,-0.229782,-0.261005,0,0,0,48,8.05097,1.04234,12.62747,8.15041,0.31646,0.086678,0,0
68038,7.886216,1.793214,-0.363084,1.456515,-0.523958,-0.16422,-0.234527,0,0,0,48,8.047145,1.04234,12.60499,8.15041,0.344089,0.179869,0,0
68058,7.920442,1.564207,-0.21206,1.45268,-0.392498,-0.095888,-0.191844,0,0,0,48,8.042913,1.04234,12.61447,8.15041,0.244193,0.148305,0,0
68078,7.949983,0.46497,-0.166097,1.448845,-0.389716,-0.039879,-0.143774,0,0,0,48,8.038706,1.04234,12.61608,8.15041,0.214797,0.174919,0,0
68100,7.945262,0.602375,-0.131941,1.44501,-0.351819,0.002302,-0.093655,0,0,0,48,8.034108,1.04234,12.57136,8.15041,0.174759,0.17706,0,0
68121,7.958357,0.999321,-0.220182,1.439641,-0.367226,0.055183,-0.043216,0,0,0,48,8.029962,1.04234,12.51177,8.15041,0.156021,0.211205,0,0
68138,7.992884,1.014588,-0.181727,1.435806,-0.291928,0.097553,-0.002067,0,0,0,48,8.026668,1.04234,12.4881,8.15041,0.097187,0.194741,0,0
68161,8.034675,0.022222,-0.271908,1.42967,-0.353006,0.141232,0.053214,0,0,0,48,8.022178,1.04234,12.48904,8.15041,0.105887,0.247119,0,0
68183,8.01364,-1.580831,-0.214977,1.425835,-0.423761,0.172114,0.098142,0,0,0,48,8.017733,1.04234,12.46914,8.15041,0.125824,0.297938,0,0
68203,7.957383,-0.710602,-0.154196,1.422767,-0.392769,0.210535,0.13351,0,0,0,48,8.013731,1.04234,12.42427,8.15041,0.091117,0.301652,0,0
68225,7.929421,-0.145717,-0.263763,1.417398,-0.479443,0.249632,0.174438,0,0,0,48,8.009371,1.04234,12.38631,8.15041,0.114906,0.364537,0,0
68243,7.923007,1.090924,-0.31288,1.41203,-0.457521,0.311041,0.215695,0,0,0,48,8.005838,1.04234,12.38671,8.15041,0.07324,0.384281,0,0
68266,7.908613,1.65581,-0.386442,1.40436,-0.500997,0.399194,0.279421,0,0,0,48,8.001572,1.04234,12.3942,8.15041,0.050902,0.450096,0,0
68286,7.877375,3.930619,-0.334774,1.397457,-0.367138,0.429889,0.330879,0,0,0,48,7.997741,1.04234,12.37742,8.15041,-0.031375,0.398514,0,0
68308,7.944452,2.556573,-0.442426,1.388253,-0.453257,0.451795,0.377213,0,0,0,48,7.993589,1.04234,12.33522,8.15041,0.000731,0.452526,0,0
68328,7.996245,1.319932,-0.274753,1.382117,-0.347221,0.405209,0.397802,0,0,0,48,7.989874,1.04234,12.31055,8.15041,-0.028994,0.376215,0,0
68347,8.016222,-0.542663,-0.162755,1.377515,-0.347589,0.371338,0.393244,0,0,0,48,7.986582,1.04234,12.30093,8.15041,-0.011875,0.359463,0,0
68368,7.926511,-0.588465,-0.040513,1.375214,-0.347954,0.310937,0.368263,0,0,0,48,7.982981,1.04234,12.29358,8.15041,0.018509,0.329445,0,0
68390,7.80926,0.907718,-0.038669,1.372913,-0.382858,0.285697,0.338748,0,0,0,48,7.979078,1.04234,12.27564,8.15041,0.048581,0.334278,0,0
68410,7.740757,3.151993,-0.228221,1.369078,-0.4588,0.267599,0.316986,0,0,0,48,7.975576,1.04234,12.26303,8.15041,0.095601,0.363199,0,0
68432,7.780745,2.892451,-0.109125,1.366777,-0.331931,0.262451,0.297181,0,0,0,48,7.971773,1.04234,12.27043,8.15041,0.03474,0.297191,0,0
68452,7.805342,1.900085,-0.029314,1.365243,-0.289867,0.245818,0.279938,0,0,0,48,7.968356,1.04234,12.28335,8.15041,0.022025,0.267843,0,0
68475,7.823363,1.381001,0.006673,1.36601,-0.22818,0.251848,0.266426,0,0,0,48,7.964637,1.04234,12.27953,8.15041,-0.011834,0.240014,0,0
68493,7.829246,2.46497,0.025642,1.367544,-0.091489,0.260843,0.265039,0,0,0,48,7.961951,1.04234,12.26838,8.15041,-0.084677,0.176166,0,0
68515,7.923047,2.434436,0.096396,1.369845,0.152189,0.264613,0.264534,0,0,0,48,7.958278,1.04234,12.26314,8.15041,-0.208401,0.056212,0,0
68534,8.017254,0.190161,0.12328,1.372913,0.23617,0.267505,0.264373,0,0,0,48,7.955283,1.04234,12.26814,8.15041,-0.251837,0.015667,0,0
68556,8.102099,-3.809839,0.34723,1.380583,0.369345,0.300007,0.274279,0,0,0,48,7.951623,1.04234,12.26167,8.15041,-0.334676,-0.034669,0,0
68576,8.125154,-6.985412,0.587665,1.391321,0.482072,0.329114,0.292394,0,0,0,48,7.948284,1.04234,12.23445,8.15041,-0.405593,-0.076479,0,0
68596,8.067604,-9.809839,0.661746,1.403593,0.384942,0.316756,0.305075,0,0,0,48,7.944914,1.04234,12.21263,8.15041,-0.350849,-0.034093,0,0
68618,7.90733,-7.916709,0.658487,1.418165,0.396327,0.178968,0.278431,0,0,0,48,7.941153,1.04234,12.21293,8.15041,-0.287647,-0.10868,0,0
68640,7.707532,-3.061748,0.402806,1.428136,0.334987,0.009789,0.192917,0,0,0,48,7.937318,1.04234,12.22534,8.15041,-0.172388,-0.162599,0,0
68658,7.671418,-1.015946,0.189132,1.432738,0.285676,-0.068801,0.109441,0,0,0,48,7.93412,1.04234,12.23231,8.15041,-0.108437,-0.177238,0,0
68681,7.718995,0.648176,0.159707,1.435806,0.436685,-0.070772,0.029303,0,0,0,48,7.930139,1.04234,12.2508,8.15041,-0.182957,-0.253728,0,0
68701,7.840186,-1.855641,0.059638,1.43734,0.368872,-0.034855,-0.001957,0,0,0,48,7.92646,1.04234,12.28994,8.15041,-0.167008,-0.201864,0,0
68723,7.860357,-3.077015,0.084299,1.439641,0.350071,-0.051636,-0.021181,0,0,0,48,7.922357,1.04234,12.34416,8.15041,-0.149217,-0.200854,0,0
68743,7.809038,-3.580832,0.07583,1.441942,0.264441,-0.052879,-0.035859,0,0,0,48,7.91858,1.04234,12.37226,8.15041,-0.105781,-0.15866,0,0
68763,7.723251,-2.054114,0.065619,1.443476,0.245374,-0.083344,-0.051667,0,0,0,48,7.914762,1.04234,12.37552,8.15041,-0.081015,-0.164359,0,0
68786,7.724258,-1.260221,-0.085809,1.441175,0.148258,-0.022367,-0.05237,0,0,0,48,7.910524,1.04234,12.39219,8.15041,-0.062945,-0.085312,0,0
68808,7.722515,-2.573198,-0.186056,1.438107,-0.065483,0.022959,-0.03086,0,0,0,48,7.906257,1.04234,12.4347,8.15041,0.021262,0.044221,0,0
68828,7.634846,-1.458694,-0.119764,1.435806,-0.115886,0.061806,-0.003616,0,0,0,48,7.902363,1.04234,12.46628,8.15041,0.02704,0.088846,0,0
68850,7.557061,0.648176,-0.259932,1.42967,-0.269241,0.114399,0.030656,0,0,0,48,7.898073,1.04234,12.4725,8.15041,0.077421,0.19182,0,0
68868,7.582356,0.877184,-0.386228,1.422767,-0.404063,0.178343,0.071394,0,0,0,48,7.894569,1.04234,12.46198,8.15041,0.11286,0.291203,0,0
68890,7.618069,1.335199,-0.409234,1.413563,-0.459522,0.307028,0.146338,0,0,0,48,7.890307,1.04234,12.46414,8.15041,0.076247,0.383275,0,0
68911,7.572055,3.136726,-0.568459,1.402826,-0.606076,0.410504,0.237601,0,0,0,48,7.886467,1.04234,12.48013,8.15041,0.097786,0.50829,0,0
68931,7.551452,7.075657,-0.728171,1.389787,-0.586462,0.471184,0.322098,0,0,0,48,7.882671,1.04234,12.48086,8.15041,0.057639,0.528823,0,0
68953,7.623163,8.25123,-0.7345,1.374447,-0.500545,0.405425,0.37237,0,0,0,48,7.878566,1.04234,12.45235,8.15041,0.04756,0.452985,0,0
68974,7.727281,7.335199,-0.691308,1.360641,-0.446435,0.231695,0.347036,0,0,0,48,7.874914,1.04234,12.42287,8.15041,0.10737,0.339065,0,0
68994,7.795475,4.984054,-0.600371,1.348369,-0.46518,0.034683,0.254451,0,0,0,48,7.871351,1.04234,12.40478,8.15041,0.215249,0.249931,0,0
69016,7.803844,3.090924,-0.329584,1.340699,-0.369828,-0.077641,0.136632,0,0,0,48,7.867538,1.04234,12.39549,8.15041,0.223734,0.146094,0,0
69036,7.743714,3.579474,-0.185637,1.336097,-0.281848,-0.127921,0.041771,0,0,0,48,7.864163,1.04234,12.39157,8.15041,0.204884,0.076963,0,0
69058,7.738868,3.197794,-0.26496,1.330728,-0.331189,-0.148885,-0.035987,0,0,0,48,7.860543,1.04234,12.40129,8.15041,0.240037,0.091152,0,0
